"","bootStrapNum","interactionDepth","shrinkage","bagFraction","totalTrees","validationAccuracy","bootstrapID"
"349",1,5,0.006,0.6,349,0.7,59
"350",2,5,0.006,0.6,779,0.741666666666667,59
"351",3,5,0.006,0.6,623,0.658333333333333,59
"352",4,5,0.006,0.6,229,0.675,59
"353",5,5,0.006,0.6,930,0.683333333333333,59
"354",6,5,0.006,0.6,276,0.691666666666667,59
"355",1,5,0.006,0.7,507,0.691666666666667,60
"356",2,5,0.006,0.7,337,0.733333333333333,60
"357",3,5,0.006,0.7,576,0.708333333333333,60
"358",4,5,0.006,0.7,435,0.691666666666667,60
"359",5,5,0.006,0.7,342,0.641666666666667,60
"360",6,5,0.006,0.7,457,0.666666666666667,60
